"(12,12,12,12)","LaurentPolynomial"
"(0,0,0,0)","1"
"(0,1,1,0)","1"
"(0,2,2,0)","1"
"(0,3,3,0)","1"
"(0,4,4,0)","1"
"(0,5,5,0)","1"
"(0,6,6,0)","1"
"(0,7,7,0)","1"
"(0,8,8,0)","1"
"(0,9,9,0)","1"
"(0,10,10,0)","1"
"(0,11,11,0)","1"
"(1,0,0,1)","q^3*t"
"(1,0,1,0)","1-q^3*t"
"(1,1,1,1)","-(q^3*t)"
"(1,2,2,1)","q*t"
"(1,2,3,0)","1"
"(1,3,3,1)","-(q*t)"
"(1,2,4,0)","-(q*t)"
"(1,4,4,1)","-(q*t)"
"(1,3,5,0)","q*t"
"(1,4,5,0)","1"
"(1,5,5,1)","q*t"
"(1,6,6,1)","-(t/q)"
"(1,6,7,0)","1"
"(1,7,7,1)","t/q"
"(1,6,8,0)","t/q"
"(1,8,8,1)","t/q"
"(1,7,9,0)","-(t/q)"
"(1,8,9,0)","1"
"(1,9,9,1)","-(t/q)"
"(1,10,10,1)","t/q^3"
"(1,10,11,0)","1"
"(1,11,11,1)","-(t/q^3)"
"(2,0,0,2)","q^3/t"
"(2,1,1,2)","q^3/t"
"(2,0,2,0)","1-q^3/t"
"(2,2,2,2)","-(q^3/t)"
"(2,1,3,0)","-(q^3/t)"
"(2,3,3,2)","-(q^3/t)"
"(2,1,4,0)","1"
"(2,4,4,2)","-(q^3/t)"
"(2,5,5,2)","-(q^3/t)"
"(2,3,6,0)","1"
"(2,4,6,0)","q^3/t"
"(2,6,6,2)","q^3/t"
"(2,5,7,0)","q^3/t"
"(2,7,7,2)","q^3/t"
"(2,5,8,0)","1"
"(2,8,8,2)","q^3/t"
"(2,9,9,2)","q^3/t"
"(2,7,10,0)","1"
"(2,8,10,0)","-(q^3/t)"
"(2,10,10,2)","-(q^3/t)"
"(2,9,11,0)","-(q^3/t)"
"(2,11,11,2)","-(q^3/t)"
"(3,0,0,3)","q^6"
"(3,0,1,2)","-q^6+q^3/t"
"(3,1,1,3)","-q^6"
"(3,0,2,1)","-q^4+q*t"
